REPORTING_RANGE,COURSE_OFFERING_SEMESTER,INSTRUCTOR,PRIMARY_INSTRUCTOR,CRN,SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,COURSE_TITLE_SHORT,COURSE_TITLE_LONG,COURSE_COLLEGE,COURSE_COLLEGE_DESC,STUDENT_NAME,STUDENT_ID,STUDENT_COLLEGE,STUDENT_COLLEGE_DESC,STUDENT_CLASSIFICATION_DESC,MAJOR_DESC,REGISTRATION_STATUS_DESC,FINAL_GRADE
Fall 2018 - Fall 2023,Spring 2019,T,Y,60653,EDUC,2332,2,EDUC TECHNOLOGY INTEGRATION,,ED,School of Human Devel and Educ,G,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Spring 2019,T,Y,60699,READ,2341,1,EMERGING LITERACY METHODS,,ED,School of Human Devel and Educ,G,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Web Registered,A-
Fall 2018 - Fall 2023,Spring 2019,T,Y,61377,RELS,1318,2,INTRO TO CHRISTIAN MORALITY,,HM,School of Arts and Humanities,H,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Fall 2019,U,Y,40073,EDUC,2339,1,TEACH SCIENCE-ELEMENTARY SCH,,ED,School of Human Devel and Educ,H,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A+
Fall 2018 - Fall 2023,Fall 2019,U,Y,41192,EDUC,3336,1,CHILDREN'S LITERATURE,,ED,School of Human Devel and Educ,H,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Fall 2019,U,Y,40733,SPAN,1311,7,SPANISH I (INTRODUCTORY),,HM,School of Arts and Humanities,H,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A-
Fall 2018 - Fall 2023,Fall 2019,U,Y,41329,MATH,1335,1,MATH FOR ELEMENTARY TEACHERS,,NS,School of Natural Sciences,H,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Spring 2020,V,Y,60599,BIED,3339,1,LANGUAGE ACQUISITION/METHOD,,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A-
Fall 2018 - Fall 2023,Spring 2020,V,Y,61112,EDUC,2329,1,ARTS FOR CHILDREN,,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Spring 2020,V,Y,60574,EDUC,2337,1,TEACH MATH-ELEMENTARY SCHOOL,,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A-
